,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
LX하우시스,108670,2021,12,화학,1.1,-,"5,000","8,967,670",300,24.048,"3,045,416,450",0.400
LX홀딩스,383800,2021,12,금융업,2.61,-,"1,000","76,280,690",-,-,-,-
MH에탄올,023150,2021,12,음식료품,1.34,-,500,"7,378,526",350,26.217,"2,277,984,100",3.400
NAVER,035420,2021,12,서비스업,0.43,-,100,"164,049,085",511,0.463,"76,291,766,005",0.100
NEW,160550,2021,12,오락·문화,0.04,-,500,"27,906,106",-,-,-,-
NE능률,053290,2021,12,출판·매체복제,0.32,-,500,"16,526,307",60,23.492 *,"991,578,420",0.500
NHN벅스,104200,2021,12,디지털컨텐츠,0.1,-,500,"14,827,550",-,-,-,-
NHN한국사이버결제,060250,2021,12,소프트웨어,0.32,0.12 / (2021-12-31),500,"36,016,415",-,-,-,-
NH투자증권,005940,2021,12,증권,3.64,-,"5,000","297,033,887","1,050",35.635,"331,925,791,600",7.800
NICE,034310,2021,12,서비스업,0.43,-,500,"37,882,300",375,13.830,"13,976,383,875",2.300
NICE평가정보,030190,2021,12,기타서비스,0.5,-,500,"60,714,820",330,36.080,"19,728,321,690",1.780
NI스틸,008260,2021,12,철강금속,2.09,-,500,"28,600,117",75,9.726 *,"2,145,008,775",2.240
OCI,010060,2021,12,화학,1.1,-,"5,000","23,849,371","2,000",7.315,"47,698,742,000",1.910
PI첨단소재,178920,2021,12,화학,1.1,-,500,"29,366,322","1,090",50.015 *,"32,009,290,980",2.100
PN풍년,024940,2021,12,금속,0.87,-,500,"10,000,000",25,11.146,"234,967,000",0.500
POSCO홀딩스,005490,2021,12,철강금속,2.09,-,"5,000","87,186,835","17,000",17.866,"1,285,634,724,000",6.000
RFHIC,218410,2021,12,일반전기전자,0.23,-,500,"26,664,397",150,66.935,"3,939,135,000",0.400
RF머트리얼즈,327260,2021,12,기타제조,0.64,-,500,"4,023,849",-,-,-,-
S&K폴리텍,091340,2021,12,IT부품,0.36,-,500,"11,703,721",250,52.722,"2,712,570,750",4.300
S-Oil,010950,2021,12,화학,1.1,-,"2,500","112,582,792","3,800",32.099,"442,494,374,375",4.300
SBI인베스트먼트,019550,2021,12,금융,1.34,-,500,"162,066,575",-,-,-,-
