,기업명,동향
1047,뉴프라이드,1.0
1048,케이씨에스,1.0
1049,차이나킹하이웨이,0.77
1050,디지탈아리아,0.76
1051,동양밸류오션SPAC(유가),0.75
1052,현대드림투게더,0.74
1053,대한생명보험(유가),0.72
1055,대우증권그린코리아SPAC(유가),0.71
1056,이미지스테크놀로지,0.69
1057,하이소닉,0.73
1058,인포바인,0.71
1059,차이나하오란리사이클링,0.69
1060,에스이티아이,0.75
1061,모베이스,0.82
1062,에이치디시에스,0.8
1063,지역난방공사(유가),0.78
1064,락앤락(유가),0.75
1065,우리넷,0.71
1066,스타플렉스,0.67
1067,아세아텍,0.6
1068,영흥철강(유가),0.75
1069,우노앤컴퍼니,0.67
1070,승화엘엠씨,1.0
1071,코디에스,1.0
1072,글로벌에스엠테크리미티드,0.76
1073,KPX라이프사이언스,0.75
1074,동양피엔에프,0.74
1075,아이티엑스시큐리티,0.73
1076,위메이드엔터테인먼트,0.71
1077,멜파스,0.75
1078,현대푸드시스템(유가),0.74
1079,한전기술(유가),0.72
1080,디오텍,0.71
1081,중국엔진집단유한공사,0.69
1082,이원컴포텍,0.67
1083,강원비앤이,0.64
1084,GKL(유가),0.62
1085,이너스텍,0.58
1086,에스케이씨앤씨(유가),0.55
1087,동방선기,0.5
1088,디엠씨,0.44
1089,진매트릭스,0.5
1090,비츠로셀,0.43
1091,스틸플라워,0.33
1092,진로(유가),0.2
1093,한스바이오메드,0.25
1094,동양생명(유가),0.0
1095,네오위즈벅스,0.0
1096,아이앤씨테크놀로지,0.0
1097,케이엔더블유,0.73
1098,쌍용머티리얼(유가),0.7
1099,에리트베이직(유가),0.78
1100,모린스,0.75
1101,디에스케이,0.86
1102,톱텍,0.83
1103,제넥신,0.8
1104,동국S&C,0.75
1105,에스앤더블류,1.0
1106,게임빌,1.0
1107,동일금속,1.0
1108,대우캐피탈(유가),0.96
1109,한미파슨스건축사사무소(유가),1.0
1110,동아지질(유가),1.0
1111,어보브반도체,1.0
1112,조이맥스,1.0
1113,차이나그레이트스타인터내셔널리,1.0
1114,이엔에프테크놀로지,1.0
1115,뉴그리드테크놀로지,1.0
1116,중국원양자원유한공사(유가),1.0
1117,해덕선기,1.0
1118,한국정밀기계,1.0
1119,서울마린,1.0
1120,STX엔파코(유가),1.0
1121,흥국,1.0
1122,신텍,1.0
1123,우림기계,1.0
1124,네프로아이티,1.0
1125,티플랙스,1.0
1126,에이테크솔루션,1.0
1127,엔에스브이,1.0
1128,에스티오,1.0
1129,에스앤에스텍,1.0
1130,뷰웍스,1.0
1131,코오롱생명과학,1.0
1132,네오피델리티,0.83
1133,중국식품포장유한공사,0.8
1134,이수앱지스,0.75
1135,유비쿼스,0.67
1136,대성파인텍,0.5
1137,메디톡스,0.0
1138,엠게임,0.75
1139,아이컴포넌트,0.71
1140,연합과기공고유한공사(유가),0.67
1141,LG파워콤(유가),0.6
1142,에너지솔루션즈,0.5
1143,이크레더블,0.33
1144,심팩에이앤씨,0.5
1145,사이버다임,1.0
1146,세운메디칼,0.58
1147,마이크로컨텍솔루션,0.55
1148,케이제이프리텍,0.5
1149,삼강엠앤티,0.56
1150,LG이노텍(유가),0.5
1151,아이엠,0.43
1152,한텍엔지니어링,0.33
1153,코리아에스이,0.4
1154,슈프리마,0.25
1155,명문제약(유가),0.33
1156,이스트소프트,0.5
1157,서울옥션,0.0
1158,비유와상징(유가),0.75
1159,씨디아이홀딩스,0.8
1160,윌덱스,0.79
1161,쎄트렉아이,0.85
1162,브리지텍,0.83
1163,고영테크놀러지,0.82
1164,제이씨엔터테인먼트,0.9
1165,세미텍,1.0
1166,테스,1.0
1167,우진비앤지,1.0
1168,예스이십사,1.0
1169,엘디티,1.0
1170,실리콘화일,1.0
1171,메타바이오메드,1.0
1172,효성오앤비,1.0
1173,네패스신소재,1.0
1174,제너시스템즈,0.38
1175,텔레필드,0.29
1176,넥실리온,0.33
1177,코웰이홀딩스,0.2
1178,네오엠텔,0.25
1179,마이스코,0.0
1180,엔케이(유가),0.0
1181,에스맥,0.0
1182,일신랩,0.51
1183,쎄믹스,0.5
1184,미성포리테크,0.48
1185,서원인텍,0.5
1186,이씨에스텔레콤,0.52
1187,대창메탈,0.5
1188,한전KPS(유가),0.48
1189,위즈위드,0.46
1190,성진지오텍(유가),0.44
1191,화풍방직(유가),0.46
1192,세실,0.44
1193,알에프세미,0.46
1194,디엔에프(유가),0.48
1195,씨모텍,0.5
1196,제이에스전선(유가),0.48
1197,일진정공,0.45
1198,비엠티,0.42
1199,쉘라인(유가),0.44
1200,기신정기(유가),0.47
1201,이엠코리아,0.44
1202,이엘케이,0.4
1203,KSS해운(유가),0.43
1204,효성ITX(유가),0.38
1205,현우산업,0.33
1206,다믈멀티미디어,0.36
1207,디아이씨(유가),0.3
1208,에스에너지,0.33
1209,성우전자,0.25
