,기업명,수요예측일,청약일
452,이원다이애그노믹스,2018.06.11,2018.06.19
453,이리츠코크렙기업,2018.06.07,2018.06.15
454,파워넷,2018.05.24,2018.05.30
455,하나금융스팩11호,2018.05.23,2018.05.30
456,현대사료,2018.05.16,2018.05.24
457,세종메디칼,2018.05.14,2018.05.21
458,제노레이,2018.05.09,2018.05.17
459,한국스팩7호,2018.04.24,2018.05.03
460,유안타스팩3호,2018.04.18,2018.04.26
461,대신밸런스스팩3호,2018.03.21,2018.03.27
462,제이티씨(JTC),2018.03.20,2018.03.27
463,케어랩스,2018.03.12,2018.03.20
464,애경산업,2018.03.07,2018.03.14
465,린드먼아시아인베스트먼트,2018.02.26,2018.03.06
466,에코마이스터,2018.02.26,2018.03.06
467,엔지켐생명과학,2018.02.05,2018.02.09
468,오스테오닉,2018.02.01,2018.02.09
469,동구바이오제약,2018.01.30,2018.02.06
470,아시아종묘,2018.01.29,2018.02.02
471,알리코제약,2018.01.25,2018.02.02
472,카페24,2018.01.23,2018.01.31
473,링크제니시스,2018.01.18,2018.01.26
474,배럴,2018.01.15,2018.01.23
475,에스지이,2018.01.11,2018.01.19
476,씨앤지하이테크,2018.01.10,2018.01.17
477,시스웍,2017.12.08,2017.12.15
478,한국스팩6호,2017.12.07,2017.12.14
479,디바이스이엔지,2017.12.04,2017.12.12
480,동부스팩5호,2017.11.27,2017.12.01
481,진에어,2017.11.23,2017.11.30
482,동양피스톤,2017.11.22,2017.11.29
483,메카로,2017.11.21,2017.11.28
484,씨티케이코스메틱스,2017.11.21,2017.11.28
485,에스트래픽,2017.11.20,2017.11.24
486,대원,2017.11.16,2017.11.24
487,체리부로,2017.11.16,2017.11.23
488,비즈니스온커뮤니케이션,2017.11.15,2017.11.22
489,삼양패키징,2017.11.13,2017.11.21
490,한화에이스스팩4호,2017.11.09,2017.11.17
491,IBKS스팩7호,2017.10.30,2017.11.03
492,비디아이,2017.10.23,2017.10.31
493,테이팩스,2017.10.17,2017.10.25
494,티슈진,2017.10.17,2017.10.24
495,영화테크,2017.10.11,2017.10.18
496,신한스팩4호,2017.09.27,2017.10.13
497,세원,2017.09.26,2017.10.13
498,상신전자,2017.09.20,2017.09.27
499,IBKS스팩8호,2017.09.18,2017.09.22
500,에스엔피월드,2017.09.14,2017.09.20
501,야스,2017.09.14,2017.09.22
502,유티아이,2017.09.11,2017.09.19
503,신흥에스이씨,2017.09.11,2017.09.19
504,엠플러스,2017.09.06,2017.09.12
505,선익시스템,2017.09.04,2017.09.12
506,샘코,2017.08.31,2017.09.08
507,앱클론,2017.08.31,2017.09.08
508,펄어비스,2017.08.29,2017.09.06
509,케이피에스,2017.08.23,2017.08.29
510,덕우전자,2017.08.09,2017.08.18
511,하나금융스팩10호,2017.08.07,2017.08.11
512,이더블유케이,2017.08.03,2017.08.10
513,컬러레이,2017.07.25,2017.08.01
514,엔에이치스팩12호,2017.07.24,2017.07.28
515,알에스오토메이션,2017.07.24,2017.08.01
516,모트렉스,2017.07.20,2017.07.28
517,디앤씨미디어,2017.07.19,2017.07.25
518,데이타솔루션,2017.07.18,2017.07.25
519,지니언스,2017.07.17,2017.07.25
520,셀트리온헬스케어,2017.07.13,2017.07.20
521,이즈미디어,2017.07.10,2017.07.18
522,한국스팩5호,2017.07.10,2017.07.14
523,힘스,2017.07.04,2017.07.12
524,아우딘퓨쳐스,2017.06.27,2017.07.04
525,브이원텍,2017.06.26,2017.07.04
526,제일홀딩스,2017.06.12,2017.06.20
527,하나금융스팩9호,2017.06.12,2017.06.16
528,교보스팩7호,2017.06.08,2017.06.14
529,한화수성스팩,2017.05.24,2017.05.30
530,보라티알,2017.05.23,2017.05.30
531,삼양옵틱스,2017.05.18,2017.05.24
532,필옵틱스,2017.05.17,2017.05.24
533,IBKS스팩6호,2017.05.15,2017.05.23
534,미래에셋대우스팩1호,2017.05.10,2017.05.17
535,엔에이치스팩10호,2017.04.17,2017.04.21
536,한화에이스스팩3호,2017.04.13,2017.04.21
537,하나머티리얼즈,2017.04.12,2017.04.19
538,케이비스팩11호,2017.04.12,2017.04.19
539,넷마블게임즈,2017.04.11,2017.04.26
540,와이엠티,2017.04.11,2017.04.19
541,ING생명보험,2017.04.06,2017.04.28
542,신영스팩3호,2017.03.23,2017.03.29
543,이엘피,2017.03.23,2017.03.29
544,서진시스템,2017.03.13,2017.03.17
545,코미코,2017.03.07,2017.03.15
546,아스타,2017.03.06,2017.03.10
547,덴티움,2017.02.27,2017.03.07
548,대신밸런스스팩4호,2017.02.15,2017.02.22
549,에스디생명공학,2017.02.14,2017.02.21
550,모바일어플라이언스,2017.02.13,2017.02.17
551,신한스팩3호,2017.02.09,2017.02.15
552,에프엔에스테크,2017.02.09,2017.02.17
553,신신제약,2017.02.08,2017.02.17
554,피씨엘,2017.02.08,2017.02.14
555,호전실업,2017.01.16,2017.01.20
556,서플러스글로벌,2017.01.12,2017.01.18
557,유바이오로직스,2017.01.09,2017.01.17
558,엔에이치스팩11호,2016.12.14,2016.12.20
