,name,type,day,gongmo_p,sicho_p
252,IBKS스팩13호,kosdaq,20200715,2000,2010
253,소마젠,kosdaq,20200713,11000,11650
254,신도기연,kosdaq,20200706,16000,32000
255,위더스제약,kosdaq,20200703,15900,31800
256,SK바이오팜(유가),kospi,20200702,49000,98000
257,마크로밀엠브레인,kosdaq,20200701,6800,13600
258,젠큐릭스,kosdaq,20200625,22700,25100
259,IBKS스팩14호,kosdaq,20200622,2000,2010
260,엘이티,kosdaq,20200622,7800,15600
261,에스씨엠생명과학,kosdaq,20200617,17000,29500
262,엔에이치스팩16호,kosdaq,20200617,2000,2005
263,드림씨아이에스,kosdaq,20200522,14900,28000
264,이베스트스팩5호,kosdaq,20200520,2000,2000
265,케이프이에스스팩4호,kosdaq,20200324,2000,2005
266,엔피디,kosdaq,20200316,5400,4860
267,플레이디,kosdaq,20200312,8500,11250
268,에스케이스팩6호,kosdaq,20200311,2000,2025
269,서울바이오시스,kosdaq,20200306,7500,13000
270,제이앤티씨,kosdaq,20200304,11000,10200
271,켄코아에어로스페이스,kosdaq,20200303,10000,11500
272,레몬,kosdaq,20200228,7200,8620
273,서남,kosdaq,20200220,3100,3900
274,신영스팩6호,kosdaq,20200212,2000,2000
275,위세아이텍,kosdaq,20200210,12000,13900
276,하나금융스팩15호,kosdaq,20200130,2000,2000
277,케이비스팩20호,kosdaq,20200130,2000,2000
278,한화플러스스팩1호,kosdaq,20191227,2000,2005
279,피피아이,kosdaq,20191226,7000,11000
280,천랩,kosdaq,20191226,40000,42950
281,엔에이치스팩15호,kosdaq,20191224,2000,2000
282,메탈라이프,kosdaq,20191224,13000,26000
283,하이스팩5호,kosdaq,20191223,2000,2000
284,브릿지바이오테라퓨틱스,kosdaq,20191220,60000,62400
285,메드팩토,kosdaq,20191219,40000,40000
286,대신밸런스스팩8호,kosdaq,20191219,2000,2005
287,유안타스팩6호,kosdaq,20191219,2000,2005
288,신테카바이오,kosdaq,20191217,12000,14950
289,제이엘케이인스펙션,kosdaq,20191211,9000,8500
290,태웅로직스,kosdaq,20191210,4500,8170
291,IBKS스팩12호,kosdaq,20191209,2000,2040
292,리메드,kosdaq,20191206,13000,14100
293,에스케이스팩5호,kosdaq,20191205,2000,2010
294,엔에이치프라임리츠(유가),kospi,20191205,5000,5000
295,IBKS스팩11호,kosdaq,20191203,2000,2005
296,코리아센터,kosdaq,20191129,18000,23000
297,유안타스팩5호,kosdaq,20191128,2000,2145
298,노터스,kosdaq,20191127,20000,29750
299,센트랄모텍(유가),kospi,20191125,6000,7650
300,티움바이오,kosdaq,20191122,12000,11800
301,씨에스베어링,kosdaq,20191121,8400,8400
302,코리아에셋투자증권,kosdaq,20191120,10000,9900
303,우양,kosdaq,20191120,4200,6060
304,현대에너지솔루션(유가),kospi,20191119,18000,18200
305,에스제이그룹,kosdaq,20191118,38600,43500
306,제테마,kosdaq,20191114,21000,20100
307,한화시스템(유가),kospi,20191113,12250,11600
308,라파스,kosdaq,20191111,20000,19950
309,아이티엠반도체,kosdaq,20191107,26000,26750
310,자이에스앤디(유가),kospi,20191106,5200,6650
311,미래에셋대우스팩4호,kosdaq,20191106,2000,2000
312,미디어젠,kosdaq,20191105,10600,11250
313,하나금융스팩14호,kosdaq,20191101,2000,2000
314,신한스팩6호,kosdaq,20191031,2000,2010
315,티라유텍,kosdaq,20191031,12050,24100
316,롯데리츠(유가),kospi,20191030,5000,5000
317,지누스(유가),kospi,20191030,70000,73500
318,교보스팩9호,kosdaq,20191029,2000,2010
319,캐리소프트,kosdaq,20191029,9000,12100
320,케이엔제이,kosdaq,20191025,11000,15700
321,엔바이오니아,kosdaq,20191024,8200,10700
322,팜스빌,kosdaq,20191022,14000,16800
323,라온피플,kosdaq,20191018,14000,13300
324,아톤,kosdaq,20191017,43000,46050
325,녹십자웰빙,kosdaq,20191014,11300,11900
326,대신밸런스스팩7호,kosdaq,20191011,2000,2025
327,유진스팩5호,kosdaq,20191002,2000,2045
328,케이비스팩19호,kosdaq,20190930,2000,2045
329,올리패스,kosdaq,20190920,20000,30600
330,라닉스,kosdaq,20190918,6000,7100
331,하나금융스팩13호,kosdaq,20190918,2000,2040
332,한독크린텍,kosdaq,20190905,15100,24500
333,상상인이안스팩2호,kosdaq,20190830,2000,2150
334,네오크레마,kosdaq,20190822,8000,9530
335,미래에셋대우스팩3호,kosdaq,20190820,2000,2120
336,마니커에프앤지,kosdaq,20190820,4000,8000
337,나노브릭,kosdaq,20190819,16000,14400
338,에스피시스템스,kosdaq,20190814,4900,9800
339,레이,kosdaq,20190808,20000,25150
340,그린플러스,kosdaq,20190807,10000,11150
341,코윈테크,kosdaq,20190805,34500,31050
342,덕산테코피아,kosdaq,20190802,19000,17100
343,슈프리마아이디,kosdaq,20190801,27000,34750
344,한국바이오젠,kosdaq,20190801,6000,12000
345,세경하이테크,kosdaq,20190730,35000,33250
346,윌링스,kosdaq,20190725,12500,22800
347,대모(구.대모엔지니어링),kosdaq,20190724,5200,8710
348,에이스토리,kosdaq,20190719,14300,12900
349,플리토,kosdaq,20190717,26000,31600
350,이베스트이안스팩1호,kosdaq,20190715,2000,3040
351,세틀뱅크,kosdaq,20190712,55000,49500
352,아이스크림에듀,kosdaq,20190711,15900,14350
353,펌텍코리아,kosdaq,20190704,190000,171000
354,에이에프더블류,kosdaq,20190701,22500,28000
355,신영스팩5호,kosdaq,20190624,2000,4000
356,케이비스팩18호,kosdaq,20190624,2000,2300
357,신한스팩5호,kosdaq,20190619,2000,3860
358,압타바이오,kosdaq,20190612,30000,50200
359,까스텔바쟉,kosdaq,20190610,12000,17000
360,마이크로디지탈,kosdaq,20190605,23000,41050
361,유진스팩4호,kosdaq,20190531,2000,2500
362,디비금융스팩7호,kosdaq,20190531,2000,2080
363,수젠텍,kosdaq,20190528,12000,11150
364,컴퍼니케이파트너스,kosdaq,20190523,4500,8200
365,엔에이치스팩14호,kosdaq,20190508,2000,2115
366,에스앤케이,kosdaq,20190507,40400,36400
367,한화에스비아이스팩,kosdaq,20190503,2000,2005
368,하이스팩4호,kosdaq,20190429,2000,2005
369,아모그린텍,kosdaq,20190329,9900,10300
370,현대오토에버(유가),kospi,20190328,48000,75500
371,지노믹트리,kosdaq,20190327,27000,29450
372,케이비스팩17호,kosdaq,20190327,2000,1995
373,이지케어텍,kosdaq,20190322,12300,24600
374,유안타스팩4호,kosdaq,20190321,2000,2005
375,미래에셋벤처투자,kosdaq,20190315,4500,6150
376,드림텍(유가),kospi,20190314,13000,17350
377,에코프로비엠,kosdaq,20190305,48000,61100
378,셀리드,kosdaq,20190220,33000,43750
379,천보,kosdaq,20190211,40000,52500
380,이노테라피,kosdaq,20190201,18000,22200
381,노랑풍선,kosdaq,20190130,20000,30350
382,웹케시,kosdaq,20190125,26000,31700
383,에어부산(유가),kospi,20181227,3600,4020
384,비피도,kosdaq,20181226,18000,36000
385,키움스팩5호,kosdaq,20181226,2000,2000
386,엔에이치스팩13호,kosdaq,20181224,2000,2000
387,유틸렉스,kosdaq,20181224,50000,60100
388,신영스팩4호,kosdaq,20181221,2000,2005
389,미래에셋대우스팩2호,kosdaq,20181221,2000,2015
390,디케이티,kosdaq,20181221,7400,12900
391,한국스팩8호,kosdaq,20181220,2000,2005
392,삼성머스트스팩3호,kosdaq,20181220,2000,2005
393,위지윅스튜디오,kosdaq,20181220,11000,11250
394,대신밸런스스팩6호,kosdaq,20181219,2000,2005
395,에이비엘바이오,kosdaq,20181219,15000,13500
396,머큐리,kosdaq,20181214,6100,9630
397,전진바이오팜,kosdaq,20181214,10000,11550
398,뉴트리,kosdaq,20181213,14500,13050
399,골든브릿지이안스팩5호,kosdaq,20181212,2000,2000
400,이노메트리,kosdaq,20181212,26000,40000
401,대유에이피,kosdaq,20181207,3000,6000
402,에스케이에이씨피씨스팩4호,kosdaq,20181207,2000,2020
403,에코캡,kosdaq,20181205,4200,4100
404,교보스팩8호,kosdaq,20181205,2000,2020
405,베스파,kosdaq,20181203,35000,33400
406,윙입푸드,kosdaq,20181130,2000,1800
407,하나머스트스팩6호,kosdaq,20181130,2000,2020
408,남화산업,kosdaq,20181129,3700,5610
409,엠아이텍,kosdaq,20181129,4500,4050
410,티로보틱스,kosdaq,20181129,16000,14400
411,티앤알바이오팹,kosdaq,20181128,18000,16200
412,네오펙트,kosdaq,20181128,11000,9900
413,아시아나IDT(유가),kospi,20181123,15000,14300
414,디알젬,kosdaq,20181122,6500,8470
415,싸이토젠,kosdaq,20181122,17000,17800
416,파멥신,kosdaq,20181121,60000,58100
417,아주IB투자,kosdaq,20181121,1500,1350
418,디케이앤디,kosdaq,20181120,6000,7570
419,디자인,kosdaq,20181115,10100,20200
420,노바렉스,kosdaq,20181114,19000,25450
421,셀리버리,kosdaq,20181109,25000,32000
422,대보마그네틱,kosdaq,20181106,31000,60200
423,노바텍,kosdaq,20181102,10000,14100
424,엘앤씨바이오,kosdaq,20181101,24000,29800
425,디비금융스팩6호,kosdaq,20181031,2000,2010
426,옵티팜,kosdaq,20181026,10000,9000
427,로보티즈,kosdaq,20181026,14000,28000
428,에스퓨얼셀,kosdaq,20181015,16500,33000
429,나우아이비캐피탈,kosdaq,20181004,8500,9300
430,푸드나무,kosdaq,20181004,24000,43350
