Unnamed: 0,date,기업검색량,기업명
1,2022-07-30,19.91564,일진하이솔루스
2,2022-07-31,19.80561,일진하이솔루스
3,2022-08-01,69.46634,일진하이솔루스
4,2022-08-02,56.99614,일진하이솔루스
5,2022-08-03,58.71997,일진하이솔루스
6,2022-08-04,64.42325,일진하이솔루스
0,2022-07-29,71.86192,바이젠셀
1,2022-07-30,12.7615,바이젠셀
2,2022-07-31,11.61087,바이젠셀
3,2022-08-01,73.69246,바이젠셀
4,2022-08-02,64.48744,바이젠셀
5,2022-08-03,68.25313,바이젠셀
6,2022-08-04,100.0,바이젠셀
0,2022-07-29,86.8735,브레인즈컴퍼니
1,2022-07-30,21.00238,브레인즈컴퍼니
2,2022-07-31,13.36515,브레인즈컴퍼니
3,2022-08-01,77.80429000000002,브레인즈컴퍼니
4,2022-08-02,88.30548,브레인즈컴퍼니
5,2022-08-03,93.31742,브레인즈컴퍼니
6,2022-08-04,100.0,브레인즈컴퍼니
0,2022-07-29,93.47402,롯데렌탈
1,2022-07-30,19.74025,롯데렌탈
2,2022-07-31,16.3961,롯데렌탈
3,2022-08-01,100.0,롯데렌탈
4,2022-08-02,87.27271999999998,롯데렌탈
5,2022-08-03,93.9935,롯데렌탈
6,2022-08-04,95.58441,롯데렌탈
0,2022-07-29,24.72658,딥노이드
1,2022-07-30,7.13266,딥노이드
2,2022-07-31,5.13552,딥노이드
3,2022-08-01,23.77555,딥노이드
4,2022-08-02,32.14455,딥노이드
5,2022-08-03,100.0,딥노이드
6,2022-08-04,50.83214,딥노이드
0,2022-07-29,100.0,아주스틸
1,2022-07-30,23.2832,아주스틸
2,2022-07-31,17.969920000000005,아주스틸
3,2022-08-01,66.89223,아주스틸
4,2022-08-02,57.26817,아주스틸
5,2022-08-03,45.01253,아주스틸
6,2022-08-04,40.02506,아주스틸
0,2022-07-29,100.0,플래티어
1,2022-07-30,24.22907,플래티어
2,2022-07-31,26.43171,플래티어
3,2022-08-01,75.47723,플래티어
4,2022-08-02,68.8693,플래티어
5,2022-08-03,72.54038,플래티어
6,2022-08-04,86.34361,플래티어
0,2022-07-29,64.32506,엠로
1,2022-07-30,17.21763,엠로
2,2022-07-31,13.63636,엠로
3,2022-08-01,58.26446,엠로
4,2022-08-02,100.0,엠로
5,2022-08-03,80.85399,엠로
6,2022-08-04,83.05785,엠로
0,2022-07-29,88.33592,한컴라이프케어
1,2022-07-30,22.2395,한컴라이프케어
2,2022-07-31,20.52877,한컴라이프케어
3,2022-08-01,100.0,한컴라이프케어
4,2022-08-02,95.17884,한컴라이프케어
5,2022-08-03,99.53343,한컴라이프케어
6,2022-08-04,93.93468,한컴라이프케어
0,2022-07-29,10.91212,원티드랩
1,2022-07-30,4.2950300000000015,원티드랩
2,2022-07-31,3.67278,원티드랩
3,2022-08-01,13.32523,원티드랩
4,2022-08-02,100.0,원티드랩
5,2022-08-03,38.06343,원티드랩
6,2022-08-04,19.7602,원티드랩
0,2022-07-29,100.0,디앤디플랫폼리츠
1,2022-07-30,28.8,디앤디플랫폼리츠
2,2022-07-31,20.0,디앤디플랫폼리츠
3,2022-08-01,86.8,디앤디플랫폼리츠
4,2022-08-02,86.4,디앤디플랫폼리츠
5,2022-08-03,67.6,디앤디플랫폼리츠
6,2022-08-04,72.8,디앤디플랫폼리츠
0,2022-07-29,100.0,에이치케이이노엔
1,2022-07-30,17.758979999999994,에이치케이이노엔
