,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score
106,나노씨엠에스,1295.75,6.65,0,20210309,20000,33000,65.0,3978,-1691.0,1.0,1243.48,2021.2.22,2021.2.26,14500,18500,0.53
107,뷰노,1457.21,23.8,0,20210226,21000,32900,56.67,162,-5913.0,1.0,1102.7,2021.2.8,2021.2.17,15000,19500,0.24
108,씨이랩,1371.37,12.97,0,20210224,35000,46600,33.14,7089,62.0,1.0,195.53,2021.2.8,2021.2.16,23000,31000,0.21
109,오로스테크놀로지,1260.0,37.12,0,20210224,21000,42000,100.0,26901,7570.0,1.0,1033.82,2021.2.8,2021.2.16,17000,21000,0.24
110,유일에너테크,1427.69,61.06,0,20210225,16000,32000,100.0,47015,8164.0,0.71,683.55,2021.2.4,2021.2.16,11000,14000,0.48
111,피엔에이치테크,1454.47,9.58,0,20210216,18000,20500,13.89,7127,-7627.0,0.73,1528.76,2021.1.28,2021.2.4,14000,17000,0.26
112,아이퀘스트,1504.02,18.7,0,20210205,11000,22000,100.0,13153,3650.0,1.0,2853.34,2021.1.20,2021.1.28,9200,10600,0.43
113,와이더플래닛,1449.22,9.59,0,20210203,16000,24900,55.63,34760,-1452.0,1.0,1357.98,2021.1.18,2021.1.26,12000,15000,0.33
114,레인보우로보틱스,1489.9,19.9,0,20210203,10000,20000,100.0,1694,-5497.0,1.0,1201.26,2021.1.18,2021.1.26,7000,9000,0.53
115,솔루엠,1167.55,20.79,1,20210202,17000,34000,100.0,913607,38483.0,1.0,1147.76,2021.1.14,2021.1.22,13700,15500,0.67
116,모비릭스,1407.53,5.73,0,20210128,14000,28000,100.0,40340,6189.0,1.0,1485.51,2021.1.14,2021.1.20,10500,14000,0.48
117,핑거,1453.12,12.64,0,20210129,16000,32000,100.0,60015,3174.0,0.77,939.39,2021.1.14,2021.1.22,13000,15000,0.26
118,씨앤투스성진,1010.02,1.7,0,20210128,32000,31700,-0.94,47481,-430.0,1.0,674.04,2021.1.12,2021.1.20,26000,32000,0.56
119,선진뷰티사이언스,1431.0,17.83,0,20210127,11500,23000,100.0,47403,4333.0,0.67,1987.74,2021.1.12,2021.1.19,10100,11500,0.54
120,엔비티,1425.3,10.7,0,20210121,19000,38000,100.0,45058,744.0,1.0,4397.67,2021.1.6,2021.1.13,13200,17600,0.38
121,석경에이티,1390.29,6.68,0,20201223,10000,20000,100.0,6403,1111.0,1.0,1751.58,2020.12.10,2020.12.16,8000,10000,0.45
122,프리시젼바이오,1231.23,1.62,0,20201222,12500,25000,100.0,2409,-706.0,1.0,1557.29,2020.12.8,2020.12.15,10500,12500,0.27
123,지놈앤컴퍼니,1163.49,9.08,0,20201223,40000,80000,100.0,46,-84669.0,0.9,1175.1,2020.12.7,2020.12.15,36000,40000,0.26
124,알체라,1315.61,3.88,0,20201221,10000,20000,100.0,3291,-11416.0,1.0,1322.58,2020.12.3,2020.12.11,8000,10000,0.4
125,에프앤가이드,1327.98,7.6,0,20201217,7000,14000,100.0,21083,3479.0,0.61,1353.9,2020.12.2,2020.12.9,5200,6500,0.57
126,티엘비,1318.82,6.1,0,20201214,38000,75900,99.74,149136,9473.0,0.89,1551.19,2020.11.30,2020.12.4,33200,38000,0.37
127,인바이오,1386.04,8.23,0,20201211,5800,11600,100.0,33736,1020.0,1.0,1414.15,2020.11.25,2020.12.3,5100,5800,0.51
128,퀀타매트릭스,185.56,4.6,0,20201209,25500,25050,-1.76,811,-63811.0,1.0,167.87,2020.11.25,2020.12.1,19700,25500,0.34
129,명신산업,1195.69,30.6,1,20201207,6500,13000,100.0,775740,33843.0,0.33,1372.94,2020.11.24,2020.11.30,4900,5800,0.65
130,엔젠바이오,1006.96,3.33,0,20201210,14000,28000,100.0,1478,-6865.0,1.0,1502.4,2020.11.23,2020.12.2,10500,14000,0.36
