,기업명,매출액(백만원),순이익(백만원),구주매출,청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),동향,점수,합계,총점,시장 종류,상장일,현재가,공모가(원),시초가(원),종가,희망공모가(최저),희망공모가(최고)
128,카카오게임즈,322392.0,33315.0,1.0,1524.8,24000,1478.53,58.59,100.0,0.91,4,74,0.054054054054054,kosdaq,20200910,58100,24000,48000,62400,20000.0,24000.0
129,피엔케이피부임상연구센타,12499.0,5376.0,0.6,1727.11,18300,1372.51,17.1,53.01,0.9,6,28,0.2142857142857142,kosdaq,20200909,5500,18300,28000,26800,16100.0,18300.0
130,아이디피,23230.0,2916.0,0.79,1149.83,9800,894.0,7.4,34.69,0.9,4,27,0.1481481481481481,kosdaq,20200824,8700,9800,13200,12500,8800.0,9800.0
131,셀레믹스,5141.0,-2256.0,1.0,1176.45,20000,1203.41,5.41,24.5,0.89,2,29,0.0689655172413793,kosdaq,20200821,8720,20000,24900,25800,16100.0,20000.0
132,영림소프트랩,37899.0,4127.0,1.0,2493.57,11500,1269.3,4.3,53.04,0.94,-1,24,-0.0416666666666666,kosdaq,20200812,11100,11500,17600,13650,9500.0,11500.0
133,이루다,17779.0,2031.0,0.8,3039.55,9000,1316.5,7.8,100.0,0.93,7,41,0.1707317073170731,kosdaq,20200806,5640,9000,18000,17650,7500.0,9000.0
134,와이팜,125429.0,11334.0,0.5,712.13,11000,407.01,8.01,41.36,0.92,1,30,0.0333333333333333,kosdaq,20200731,4850,11000,15550,18800,9700.0,11000.0
135,이엔드디,58313.0,6194.0,1.0,808.62,14400,1168.72,8.99,26.39,0.92,-1,34,-0.0294117647058823,kosdaq,20200730,27750,14400,18200,21000,12350.0,14400.0
136,엠투아이,24715.0,6003.0,0.25,176.83,15600,61.7,1.6,20.83,0.91,4,31,0.1290322580645161,kosdaq,20200729,9370,15600,18850,15900,15600.0,18900.0
137,더네이쳐홀딩스,235344.0,16142.0,0.8300000000000001,151.9,46000,97.21,8.46,-10.0,0.9,1,29,0.0344827586206896,kosdaq,20200727,29700,46000,41400,43000,45000.0,50000.0
138,제놀루션,3951.0,-287.0,1.0,894.67,14000,1161.09,21.36,100.0,1.0,6,36,0.1666666666666666,kosdaq,20200724,13150,14000,28000,24750,12000.0,14000.0
139,솔트룩스,15335.0,145.0,1.0,953.53,25000,528.17,5.58,60.0,1.0,2,49,0.0408163265306122,kosdaq,20200723,10400,25000,40000,34300,24000.0,30000.0
140,티에스아이,60918.0,-12175.0,0.74,1621.1,10000,1283.73,4.97,100.0,1.0,7,40,0.175,kosdaq,20200722,10450,10000,20000,17200,7500.0,9500.0
141,에이프로,67358.0,7578.0,1.0,1582.52,21600,1090.8,10.46,100.0,1.0,6,48,0.125,kosdaq,20200716,12200,21600,43200,56100,19000.0,21600.0
142,신도기연,48854.0,3189.0,1.0,955.01,16000,1272.9,14.51,100.0,1.0,-3,43,-0.0697674418604651,kosdaq,20200706,5120,16000,32000,22400,14000.0,16000.0
143,위더스제약,51732.0,8661.0,0.62,1082.03,15900,1033.41,17.36,100.0,1.0,2,47,0.0425531914893617,kosdaq,20200703,8930,15900,31800,34400,13900.0,15900.0
144,마크로밀엠브레인,39075.0,1952.0,1.0,888.01,6800,1056.8,19.39,100.0,1.0,4,26,0.1538461538461538,kosdaq,20200701,3605,6800,13600,16050,5200.0,6400.0
145,엘이티,40933.0,7172.0,1.0,1552.16,7800,1255.9,24.5,100.0,1.0,12,33,0.3636363636363636,kosdaq,20200622,13750,7800,15600,20250,6400.0,7800.0
