,cor_name,sales,profit,shares_to_pub,sub_rate,cor_rate,obligation,score,sum,t_score,market_type,listed_date,current_price,offer_price,h_exp_offer_price,l_exp_offer_price,target,st_price,end_price,search_amt,Trend
107,포인트모바일,62181,8494,0.84,1842.97,1447.07,18.19,8,53,0.151,0,20201203,18100,15000,13000,15000,30550,30000,100.0,-0.125,0.88
108,제일전기공업,146148,14127,0.5,1396.1,1196.21,8.86,0,29,0.0,0,20201126,12100,17000,15000,17000,28650,34000,100.0,-0.08,0.86
109,티앤엘,32655,7286,1.0,1109.19,338.91,0.41,2,38,0.053,0,20201120,38600,36000,34000,38000,54000,72000,100.0,-0.104,0.83
110,하나기술,59294,4317,1.0,1802.1,1393.98,16.83,-1,27,-0.037,0,20201125,56200,35000,31000,35000,91000,70000,100.0,0.024,0.85
111,고바이오랩,577,-44067,1.0,566.54,64.33,0.03,-1,42,-0.024,0,20201118,14050,15000,18000,23000,31300,30000,100.0,-0.033,0.8
112,네패스아크,54719,4653,1.0,830.21,707.7,1.6,-1,24,-0.042,0,20201117,29500,26500,23400,26500,38700,36200,36.6,-0.138,0.78
113,소룩스,71108,5794,0.82,1660.08,1135.7,0.8,12,29,0.414,0,20201106,8810,10000,8000,10000,26000,20000,100.0,-0.193,0.71
114,위드텍,58061,11129,1.0,1185.51,1336.49,23.53,-7,31,-0.226,0,20201030,15550,25000,21000,25000,41100,37100,48.4,-0.147,0.67
115,센코,19835,-2411,0.82,366.42,848.37,2.2,2,40,0.05,0,20201029,14100,13000,10000,13000,15250,13350,2.69,-0.128,0.6
116,바이브컴퍼니,16298,-777,1.0,1266.22,1221.45,7.96,-2,54,-0.037,0,20201028,33300,28000,23000,28000,31300,40000,42.86,-0.059,0.5
117,미코바이오메드,4098,-13172,1.0,41.74,159.15,0.02,-9,46,-0.196,0,20201022,11600,15000,12000,15000,13700,16100,7.33,-0.007,0.33
118,넥스틴,9394,-2625,1.0,13.92,30.25,23.3,-1,20,-0.05,0,20201008,63200,75400,61500,75400,71600,71100,-5.7,-0.1,0.83
