,cor_name,cor_rate,obligation
393,신영스팩4호,,0.00%
394,삼성머스트스팩3호,,0.00%
395,대신밸런스스팩6호,,0.00%
396,머큐리,749.57:1,13.35%
397,전진바이오팜,14.69:1,27.20%
398,이노메트리,765.22:1,11.39%
399,뉴트리,28.68:1,0.00%
400,골든브릿지이안스팩5호,,0.00%
401,에스케이에이씨피씨스팩4호,,0.00%
402,대유에이피,299.23:1,0.00%
403,교보스팩8호,,0.00%
404,하나머스트스팩6호,,0.00%
405,베스파,24.81,0.00%
406,윙입푸드,131.15:1,0.00%
407,티로보틱스,56.9,0.00%
408,에코캡,20.66:1,0.00%
409,티앤알바이오팹,101.9:1,1.00%
410,엠아이텍,472.57:1,0.42%
411,네오펙트,338.01:1,0.89%
412,남화산업,822.09:1,6.14%
413,싸이토젠,608.85:1,0.70%
414,아시아나IDT,7.04:1,0.00%
415,아주IB투자,40.55:1,0.00%
416,디알젬,785.43:1,1.05%
417,파멥신,764.16:1,18.81%
418,디케이앤디,256.3:1,0.00%
419,디자인,771.73,3.86%
420,노바렉스,48.64:1,18.99%
421,셀리버리,698.98:1,16.80%
422,대보마그네틱,995.40:1,45.41%
423,디비금융스팩6호,,0.00%
424,엘앤씨바이오,937.08:1,17.27%
425,노바텍,66.32:1,0.03%
426,옵티팜,94.57:1,11.60%
427,로보티즈,958.60:1,39.80%
428,에스퓨얼셀,942.85:1,40.50%
429,크리스에프앤씨,7.89:1,0.00%
430,푸드나무,791.08:1,16.50%
431,나우아이비캐피탈,63.17:1,0.00%
432,IBKS스팩10호,,0.00%
433,하나제약,101.50:1,0.10%
434,지티지웰니스,946.89:1,4.22%
435,우진아이엔에스,129.06:1,0.77%
436,명성티엔에스,745.56:1,11.73%
437,삼성스팩2호,,0.00%
438,디지캡,979.06:1,4.18%
439,대신밸런스스팩5호,,0.00%
440,액트로,132.07:1,1.86%
441,에이피티씨,20.99:1,8.70%
442,오파스넷,861.66:1,14.22%
443,바이오솔루션,174.79:1,5.04%
444,대유,148.39:1,0.00%
445,에스에스알,928.44:1,41.62%
446,휴네시온,751.89:1,8.90%
447,디아이티,105.14:1,6.80%
448,티웨이항공,23.03:1,0.00%
449,롯데정보통신,79.33:1,25.90%
450,한국유니온제약,918.99:1,9.40%
451,엠코르셋,766.05:1,16.40%
452,IBKS스팩9호,,0.00%
453,올릭스,876.72:1,74.03%
454,아이큐어,642.1:1,5.08%
455,에스브이인베스트먼트,786.73:1,4.70%
456,이원다이애그노믹스,749.79:1,27.87%
457,이리츠코크렙기업,6.29:1,0.00%
458,파워넷,590.60:1,7.66%
459,하나금융스팩11호,,0.00%
460,현대사료,839.16:1,31.92%
461,세종메디칼,836.68:1,39.75%
462,제노레이,907.12:1,32.59%
463,한국스팩7호,,0.00%
464,유안타스팩3호,,0.00%
465,대신밸런스스팩3호,,0.00%
466,제이티씨(JTC),478:1,24.17%
467,케어랩스,934.42:1,40.19%
468,애경산업,24.30:1,8.51%
469,린드먼아시아인베스트먼트,640.8:1,27.40%
470,에코마이스터,15.54:1,0.00%
471,엔지켐생명과학,258.68:1,13.25%
472,오스테오닉,442:1,1.70%
473,동구바이오제약,727.70:1,53.41%
474,아시아종묘,239.52:1,4.39%
475,알리코제약,389.27:1,9.38%
476,카페24,672.71:1,42.90%
477,링크제니시스,754.60:1,35.90%
478,배럴,298.48:1,9.06%
479,에스지이,17.03:1,0.00%
480,씨앤지하이테크,249.23:1,0.00%
481,시스웍,78.86:1,0.44%
482,한국스팩6호,,0.00%
483,디바이스이엔지,11.40:1,0.00%
484,동부스팩5호,,0.00%
485,진에어,274.55:1,7.30%
486,동양피스톤,62.80:1,0.00%
487,메카로,719.26:1,42.07%
488,씨티케이코스메틱스,188.65:1,6.60%
489,에스트래픽,605.02:1,13.40%
490,대원,247.25:1,0.20%
491,체리부로,265.38:1,0.40%
492,비즈니스온커뮤니케이션,513.97:1,14.90%
493,삼양패키징,16.73:1,0.36%
494,한화에이스스팩4호,,0.00%
495,IBKS스팩7호,,0.00%
496,비디아이,53.95:1,0.00%
497,테이팩스,16.81:1,0.00%
498,티슈진,299.49:1,22.45%
499,영화테크,61.83:1,0.00%
500,신한스팩4호,,0.00%
501,세원,90.67:1,0.00%
502,상신전자,601.54:1,0.00%
503,IBKS스팩8호,,0.00%
504,에스엔피월드,534.27:1,4.97%
505,야스,28.90:1,7.15%
506,유티아이,5.05:1,0.40%
507,신흥에스이씨,482.4:1,33.10%
508,엠플러스,596.2:1,27.20%
509,선익시스템,7.87:1,0.00%
510,샘코,19.26:1,0.96%
511,앱클론,564.87:1,21.72%
512,펄어비스,62.40:1,6.22%
513,케이피에스,75.3:1,0.00%
514,덕우전자,282.69:1,11.35%
515,하나금융스팩10호,,0.00%
516,이더블유케이,588.13:1,25.95%
517,컬러레이,60.49:1,0.00%
518,엔에이치스팩12호,,0.00%
519,알에스오토메이션,656.89:1,61.00%
520,모트렉스,357.12:1,11.24%
521,디앤씨미디어,539.1:1,33.50%
522,데이타솔루션,395.83:1,23.09%
523,지니언스,620.04:1,14.50%
524,셀트리온헬스케어,38.06:1,12.50%
525,이즈미디어,129.22:1,1.38%
526,한국스팩5호,,0.00%
527,힘스,729.64:1,27.48%
528,아우딘퓨쳐스,182.60:1,0.00%
529,브이원텍,557.47:1,8.30%
530,제일홀딩스,113.98:1,2.88%
531,하나금융스팩9호,,0.00%
532,교보스팩7호,,0.00%
533,한화수성스팩,,0.00%
534,보라티알,557.61:1,13.30%
535,삼양옵틱스,33.2:1,8.70%
