,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p
275,켄코아에어로스페이스,kosdaq,20200303,10000,11500,15%,10250
276,레몬,kosdaq,20200228,7200,8620,19.72%,10400
277,서남,kosdaq,20200220,3100,3900,25.81%,4750
278,신영스팩6호,kosdaq,20200212,2000,2000,0%,2010
279,위세아이텍,kosdaq,20200210,12000,13900,15.83%,12400
280,하나금융스팩15호,kosdaq,20200130,2000,2000,0%,2000
281,케이비스팩20호,kosdaq,20200130,2000,2000,0%,2000
282,한화플러스스팩1호,kosdaq,20191227,2000,2005,0.25%,2000
283,피피아이,kosdaq,20191226,7000,11000,57.14%,9630
284,천랩,kosdaq,20191226,40000,42950,7.38%,38500
285,엔에이치스팩15호,kosdaq,20191224,2000,2000,0%,2000
286,메탈라이프,kosdaq,20191224,13000,26000,100%,33800
287,하이스팩5호,kosdaq,20191223,2000,2000,0%,2005
288,브릿지바이오테라퓨틱스,kosdaq,20191220,60000,62400,4%,54300
289,메드팩토,kosdaq,20191219,40000,40000,0%,35900
290,대신밸런스스팩8호,kosdaq,20191219,2000,2005,0.25%,2005
291,유안타스팩6호,kosdaq,20191219,2000,2005,0.25%,2000
292,신테카바이오,kosdaq,20191217,12000,14950,24.58%,16700
293,제이엘케이인스펙션,kosdaq,20191211,9000,8500,-5.56%,9000
294,태웅로직스,kosdaq,20191210,4500,8170,81.56%,6110
295,IBKS스팩12호,kosdaq,20191209,2000,2040,2%,2050
296,리메드,kosdaq,20191206,13000,14100,8.46%,13450
297,에스케이스팩5호,kosdaq,20191205,2000,2010,0.5%,2010
298,엔에이치프라임리츠(유가),kospi,20191205,5000,5000,0%,6500
299,IBKS스팩11호,kosdaq,20191203,2000,2005,0.25%,2010
300,코리아센터,kosdaq,20191129,18000,23000,27.78%,22850
301,유안타스팩5호,kosdaq,20191128,2000,2145,7.25%,2010
302,노터스,kosdaq,20191127,20000,29750,48.75%,36500
303,센트랄모텍(유가),kospi,20191125,6000,7650,27.5%,9940
304,티움바이오,kosdaq,20191122,12000,11800,-1.67%,13450
305,씨에스베어링,kosdaq,20191121,8400,8400,0%,8950
306,코리아에셋투자증권,kosdaq,20191120,10000,9900,-1%,8290
307,우양,kosdaq,20191120,4200,6060,44.29%,4785
308,현대에너지솔루션(유가),kospi,20191119,18000,18200,1.11%,17300
309,에스제이그룹,kosdaq,20191118,38600,43500,12.69%,46400
310,제테마,kosdaq,20191114,21000,20100,-4.29%,22450
311,한화시스템(유가),kospi,20191113,12250,11600,-5.31%,11100
312,라파스,kosdaq,20191111,20000,19950,-0.25%,18050
313,아이티엠반도체,kosdaq,20191107,26000,26750,2.88%,24700
314,자이에스앤디(유가),kospi,20191106,5200,6650,27.88%,6120
315,미래에셋대우스팩4호,kosdaq,20191106,2000,2000,0%,2000
316,미디어젠,kosdaq,20191105,10600,11250,6.13%,9150
317,하나금융스팩14호,kosdaq,20191101,2000,2000,0%,2005
318,신한스팩6호,kosdaq,20191031,2000,2010,0.5%,2010
319,티라유텍,kosdaq,20191031,12050,24100,100%,20650
320,롯데리츠(유가),kospi,20191030,5000,5000,0%,6500
321,지누스(유가),kospi,20191030,70000,73500,5%,83000
322,교보스팩9호,kosdaq,20191029,2000,2010,0.5%,2010
323,캐리소프트,kosdaq,20191029,9000,12100,34.44%,13850
324,케이엔제이,kosdaq,20191025,11000,15700,42.73%,14900
325,엔바이오니아,kosdaq,20191024,8200,10700,30.49%,12100
326,팜스빌,kosdaq,20191022,14000,16800,20%,14350
327,라온피플,kosdaq,20191018,14000,13300,-5%,15550
328,아톤,kosdaq,20191017,43000,46050,7.09%,42850
329,녹십자웰빙,kosdaq,20191014,11300,11900,5.31%,12500
330,대신밸런스스팩7호,kosdaq,20191011,2000,2025,1.25%,2025
331,유진스팩5호,kosdaq,20191002,2000,2045,2.25%,2045
332,케이비스팩19호,kosdaq,20190930,2000,2045,2.25%,2050
333,올리패스,kosdaq,20190920,20000,30600,53%,24800
334,라닉스,kosdaq,20190918,6000,7100,18.33%,8090
335,하나금융스팩13호,kosdaq,20190918,2000,2040,2%,2070
336,한독크린텍,kosdaq,20190905,15100,24500,62.25%,19250
337,상상인이안스팩2호,kosdaq,20190830,2000,2150,7.5%,2035
338,네오크레마,kosdaq,20190822,8000,9530,19.13%,8370
339,미래에셋대우스팩3호,kosdaq,20190820,2000,2120,6%,-
340,마니커에프앤지,kosdaq,20190820,4000,8000,100%,6950
341,나노브릭,kosdaq,20190819,16000,14400,-10%,14800
342,에스피시스템스,kosdaq,20190814,4900,9800,100%,12700
343,레이,kosdaq,20190808,20000,25150,25.75%,24750
344,그린플러스,kosdaq,20190807,10000,11150,11.5%,10700
345,코윈테크,kosdaq,20190805,34500,31050,-10%,21750
346,덕산테코피아,kosdaq,20190802,19000,17100,-10%,15600
347,슈프리마아이디,kosdaq,20190801,27000,34750,28.7%,28000
348,한국바이오젠,kosdaq,20190801,6000,12000,100%,13200
349,세경하이테크,kosdaq,20190730,35000,33250,-5%,33350
350,윌링스,kosdaq,20190725,12500,22800,82.4%,29600
351,대모(구.대모엔지니어링),kosdaq,20190724,5200,8710,67.5%,11300
352,에이스토리,kosdaq,20190719,14300,12900,-9.79%,-
353,플리토,kosdaq,20190717,26000,31600,21.54%,27800
354,이베스트이안스팩1호,kosdaq,20190715,2000,3040,52%,-
355,세틀뱅크,kosdaq,20190712,55000,49500,-10%,51600
356,아이스크림에듀,kosdaq,20190711,15900,14350,-9.75%,11700
