,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent
223,박셀바이오,kosdaq,20200922,30000,27000,-10%
224,비비씨,kosdaq,20200921,30700,27650,-9.93%
225,교보스팩10호,kosdaq,20200918,2000,2020,1%
226,핌스,kosdaq,20200918,19000,21000,10.53%
227,압타머사이언스,kosdaq,20200916,25000,28850,15.4%
228,이오플로우,kosdaq,20200914,19000,21750,14.47%
229,카카오게임즈,kosdaq,20200910,24000,48000,100%
230,피엔케이피부임상연구센타,kosdaq,20200909,18300,28000,53.01%
231,코람코에너지플러스리츠(유가),kospi,20200831,5000,4800,-4%
232,미래에셋대우스팩5호,kosdaq,20200828,2000,2000,0%
233,아이디피,kosdaq,20200824,9800,13200,34.69%
234,셀레믹스,kosdaq,20200821,20000,24900,24.5%
235,미투젠,kosdaq,20200818,27000,29100,7.78%
236,브랜드엑스코퍼레이션,kosdaq,20200813,13000,12900,-0.77%
237,영림원소프트랩,kosdaq,20200812,11500,17600,53.04%
238,한국파마,kosdaq,20200810,9000,18000,100%
239,제이알글로벌리츠(유가),kospi,20200807,5000,4700,-6%
240,이루다,kosdaq,20200806,9000,18000,100%
241,이지스레지던스리츠(유가),kospi,20200805,5000,4500,-10%
242,미래에셋맵스리츠1호(유가),kospi,20200805,5000,4500,-10%
243,와이팜,kosdaq,20200731,11000,15550,41.36%
244,이엔드디,kosdaq,20200730,14400,18200,26.39%
245,엠투아이,kosdaq,20200729,15600,18850,20.83%
246,에이치엠씨아이비스팩4호,kosdaq,20200729,2000,2010,0.5%
247,더네이쳐홀딩스,kosdaq,20200727,46000,41400,-10%
248,제놀루션,kosdaq,20200724,14000,28000,100%
249,솔트룩스,kosdaq,20200723,25000,40000,60%
250,하나금융스팩16호,kosdaq,20200723,2000,2020,1%
251,티에스아이,kosdaq,20200722,10000,20000,100%
252,이지스밸류플러스리츠(유가),kospi,20200716,5000,4800,-4%
253,에이프로,kosdaq,20200716,21600,43200,100%
254,IBKS스팩13호,kosdaq,20200715,2000,2010,0.5%
255,소마젠,kosdaq,20200713,11000,11650,5.91%
256,신도기연,kosdaq,20200706,16000,32000,100%
257,위더스제약,kosdaq,20200703,15900,31800,100%
258,SK바이오팜(유가),kospi,20200702,49000,98000,100%
259,마크로밀엠브레인,kosdaq,20200701,6800,13600,100%
260,젠큐릭스,kosdaq,20200625,22700,25100,10.57%
261,IBKS스팩14호,kosdaq,20200622,2000,2010,0.5%
262,엘이티,kosdaq,20200622,7800,15600,100%
263,에스씨엠생명과학,kosdaq,20200617,17000,29500,73.53%
264,엔에이치스팩16호,kosdaq,20200617,2000,2005,0.25%
265,드림씨아이에스,kosdaq,20200522,14900,28000,87.92%
266,이베스트스팩5호,kosdaq,20200520,2000,2000,0%
267,케이프이에스스팩4호,kosdaq,20200324,2000,2005,0.25%
268,엔피디,kosdaq,20200316,5400,4860,-10%
269,플레이디,kosdaq,20200312,8500,11250,32.35%
270,에스케이스팩6호,kosdaq,20200311,2000,2025,1.25%
271,서울바이오시스,kosdaq,20200306,7500,13000,73.33%
272,제이앤티씨,kosdaq,20200304,11000,10200,-7.27%
273,켄코아에어로스페이스,kosdaq,20200303,10000,11500,15%
274,레몬,kosdaq,20200228,7200,8620,19.72%
275,서남,kosdaq,20200220,3100,3900,25.81%
276,신영스팩6호,kosdaq,20200212,2000,2000,0%
277,위세아이텍,kosdaq,20200210,12000,13900,15.83%
278,하나금융스팩15호,kosdaq,20200130,2000,2000,0%
279,케이비스팩20호,kosdaq,20200130,2000,2000,0%
280,한화플러스스팩1호,kosdaq,20191227,2000,2005,0.25%
281,피피아이,kosdaq,20191226,7000,11000,57.14%
282,천랩,kosdaq,20191226,40000,42950,7.38%
283,엔에이치스팩15호,kosdaq,20191224,2000,2000,0%
284,메탈라이프,kosdaq,20191224,13000,26000,100%
285,하이스팩5호,kosdaq,20191223,2000,2000,0%
286,브릿지바이오테라퓨틱스,kosdaq,20191220,60000,62400,4%
287,메드팩토,kosdaq,20191219,40000,40000,0%
288,대신밸런스스팩8호,kosdaq,20191219,2000,2005,0.25%
289,유안타스팩6호,kosdaq,20191219,2000,2005,0.25%
290,신테카바이오,kosdaq,20191217,12000,14950,24.58%
291,제이엘케이인스펙션,kosdaq,20191211,9000,8500,-5.56%
292,태웅로직스,kosdaq,20191210,4500,8170,81.56%
293,IBKS스팩12호,kosdaq,20191209,2000,2040,2%
294,리메드,kosdaq,20191206,13000,14100,8.46%
295,에스케이스팩5호,kosdaq,20191205,2000,2010,0.5%
296,엔에이치프라임리츠(유가),kospi,20191205,5000,5000,0%
297,IBKS스팩11호,kosdaq,20191203,2000,2005,0.25%
298,코리아센터,kosdaq,20191129,18000,23000,27.78%
299,유안타스팩5호,kosdaq,20191128,2000,2145,7.25%
300,노터스,kosdaq,20191127,20000,29750,48.75%
301,센트랄모텍(유가),kospi,20191125,6000,7650,27.5%
302,티움바이오,kosdaq,20191122,12000,11800,-1.67%
303,씨에스베어링,kosdaq,20191121,8400,8400,0%
304,코리아에셋투자증권,kosdaq,20191120,10000,9900,-1%
305,우양,kosdaq,20191120,4200,6060,44.29%
306,현대에너지솔루션(유가),kospi,20191119,18000,18200,1.11%
307,에스제이그룹,kosdaq,20191118,38600,43500,12.69%
308,제테마,kosdaq,20191114,21000,20100,-4.29%
309,한화시스템(유가),kospi,20191113,12250,11600,-5.31%
310,라파스,kosdaq,20191111,20000,19950,-0.25%
311,아이티엠반도체,kosdaq,20191107,26000,26750,2.88%
312,자이에스앤디(유가),kospi,20191106,5200,6650,27.88%
313,미래에셋대우스팩4호,kosdaq,20191106,2000,2000,0%
314,미디어젠,kosdaq,20191105,10600,11250,6.13%
315,하나금융스팩14호,kosdaq,20191101,2000,2000,0%
316,신한스팩6호,kosdaq,20191031,2000,2010,0.5%
317,티라유텍,kosdaq,20191031,12050,24100,100%
318,롯데리츠(유가),kospi,20191030,5000,5000,0%
319,지누스(유가),kospi,20191030,70000,73500,5%
320,교보스팩9호,kosdaq,20191029,2000,2010,0.5%
321,캐리소프트,kosdaq,20191029,9000,12100,34.44%
322,케이엔제이,kosdaq,20191025,11000,15700,42.73%
323,엔바이오니아,kosdaq,20191024,8200,10700,30.49%
324,팜스빌,kosdaq,20191022,14000,16800,20%
325,라온피플,kosdaq,20191018,14000,13300,-5%
326,아톤,kosdaq,20191017,43000,46050,7.09%
327,녹십자웰빙,kosdaq,20191014,11300,11900,5.31%
328,대신밸런스스팩7호,kosdaq,20191011,2000,2025,1.25%
329,유진스팩5호,kosdaq,20191002,2000,2045,2.25%
330,케이비스팩19호,kosdaq,20190930,2000,2045,2.25%
331,올리패스,kosdaq,20190920,20000,30600,53%
332,라닉스,kosdaq,20190918,6000,7100,18.33%
333,하나금융스팩13호,kosdaq,20190918,2000,2040,2%
334,한독크린텍,kosdaq,20190905,15100,24500,62.25%
