,cor_name,title
0,에이치와이티씨,"에이치와이티씨, 공모가 최상단 1만5000원 확정"
1,에이치와이티씨,2차전지 관련주 에이치와이티씨 수요예측 흥행해 공모가 1만5천 원 확정
2,에이치와이티씨,"태광 자회사 에이치와이티씨, 유상증자 결정"
3,에이치와이티씨,"[더벨]에이치와이티씨, IPO 한파 뚫고 사세 확장 전진"
4,에이치와이티씨,"HYTC, 공모가 최상단 1만5000원…내달 9일 상장"
5,에이치와이티씨,"에이치와이티씨, 공모가 최상단 '1만5000원' 확정"
6,에이치와이티씨,"'2차전지 부품株' HYTC, IPO 흥행 성공…공모가 1만5000원 확정"
7,에이치와이티씨,"[주린이의 공모주] 2차전지 새내기주, 연이은 IPO 출사표"
8,에이치와이티씨,"에이치와이티씨, 공모가 1만5000원 확정…28~29일 일반투자자 공모청약"
9,에이치와이티씨,"2차전지 재활용 기업 새빗켐, 일반 청약 첫날 경쟁률 99대 1"
0,에이치와이티씨,"""잘 나가는 2차전지"" 에이치와이티씨, 공모가 최상단… 청약 기대감↑"
1,에이치와이티씨,"[시그널] 2차전지 공모주 흥행 질주…HYTC, 수요예측 경쟁률 1480.8 대 1"
2,에이치와이티씨,2차전지만 빛 본 7월 IPO…수요예측 경쟁률도 '극과 극' 온도차
3,에이치와이티씨,"새빗켐, 일반청약 경쟁률 1724대 1…증거금 8조750억"
4,에이치와이티씨,오늘의 증시 일정 (7월 28일)
5,에이치와이티씨,"[시그널] 현대차증권, IPO 주관사 '컴백' …""車산업 정통"""
6,에이치와이티씨,오늘의 증시 메모[7월 28일]
0,에이치와이티씨,"2차전지 IPO 에이치와이티씨, 청약 첫날 경쟁률 14대 1"
1,에이치와이티씨,"에이치와이티씨(HYTC) 공모주 일반청약 시작, 최소 청약 단위 50주"
2,에이치와이티씨,에이치와이티씨 공모주 일반청약 시작...수요예측·공모가·상장일은?
3,에이치와이티씨,"에이치와이티씨,수요예측 경쟁률 1480.78대1…공모가·청약일정은?"
4,에이치와이티씨,"[알려株5] 에이치와이티씨, 2차전지 시장 확대에 따른 성장궤도 진입"
5,에이치와이티씨,"HYTC, 29일까지 일반청약...수요예측 경쟁률·공모가·상장일·주관사는?"
6,에이치와이티씨,"성일하이텍, 공모가 대비 76% 상승…2차전지 IPO 흥행몰이(종합)"
7,에이치와이티씨,"[장외시황] 에이치와이티씨, 29일까지 공모주 청약…에스엠랩 코스닥 상장 예..."
8,에이치와이티씨,오늘의 증시 메모[7월 29일]
9,에이치와이티씨,오늘의 증시 일정 (7월 29일)
0,새빗켐,[특징주] 새빗켐 주가 4% 상승…폐배터리 재활용 시장 성장 기대감
1,새빗켐,"[특징주] '폐배터리' 새빗켐, 조정 없이 주가 연일 상승세"
2,새빗켐,"""폐배터리 재활용 시장 급성장""…성일하이텍·새빗켐 '급등'"
3,새빗켐,"상장 후 60% 뛰었다…`폐배터리 관련주` 새빗켐, 연일 강세"
4,새빗켐,[특징주] 새빗켐 주가 상승 마감할까 '상승세'...이유는?
5,새빗켐,새빗켐 주가에 힘 실린다?... 폐배터리 리사이클링 시장 성장 촉각
6,새빗켐,"새빗켐, 폐배터리 재활용 시장 급성장에 주가 ‘방긋’"
7,새빗켐,"공모 흥행 '소부장' 기업, 상장 이후 주가도 강세"
8,새빗켐,탈진 증시 희망된 '태조이방원'… 개미들 구원할까
9,새빗켐,"""한달만에 4배 넘게 올랐다""…폐배터리주 연일 강세"
