,기업명,매출액(백만원),순이익(백만원),구주매출,희망공모가(최저),희망공모가(최고),청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),공모가(원),시초가(원),상장일
440,삼성바이오로직스,91278.0,1904946.0,0.67,113000.0,136000.0,45.34,136000,295.63,24.63,-0.74,136000,135000,20161110
441,제이더블유생명과학,125950.0,12864.0,0.0,27000.0,32500.0,220.29,30000,224.57,7.41,10.17,30000,33050,20161027
442,화승엔터프라이즈,,-1.0,0.79,14600.0,16500.0,0.43,15000,48.46,0.21,-10.0,15000,13500,20161004
443,엘에스전선아시아,200134.0,6111.0,0.07,10000.0,11500.0,2.98,8000,30.57,,-10.0,8000,7200,20160922
444,듀올,176362.0,6549.0,0.4,7500.0,9000.0,2.17,8500,71.69,,-3.65,8500,8190,20160729
445,한국자산신탁,83392.0,36292.0,1.0,9100.0,10300.0,6.65,10300,149.83,6.37,-3.88,10300,9900,20160713
446,해성디에스,246043.0,14687.0,1.0,12000.0,15000.0,158.41,12000,188.69,12.2,39.17,12000,16700,20160624
447,용평리조트,133592.0,3956.0,1.0,8100.0,9200.0,291.1,7000,28.1,0.1,28.57,7000,9000,20160527
448,해태제과식품,689963.0,4275.0,1.0,12300.0,15100.0,264.9,15100,342.99,24.63,25.56,15100,18960,20160511
449,대림씨엔에스,257906.0,19318.0,1.0,23500.0,27700.0,25.5,27700,85.25,15.9,-9.93,27700,24950,20160330
450,제이에스코퍼레이션,162608.0,20087.0,1.0,19000.0,23000.0,477.76,23000,433.6,35.9,70.0,23000,39100,20160204
451,코리아오토글라스,429725.0,25480.0,1.0,10500.0,12000.0,430.14,11000,57.68,4.47,5.45,11000,11600,20151229
452,잇츠스킨,241884.0,76331.0,1.0,208500.0,253000.0,219.27,170000,11.53,8.7,1.18,170000,172000,20151228
453,세진중공업,567935.0,17912.0,1.0,3500.0,3900.0,2.29,3500,8.89,26.5,-0.14,3500,3495,20151130
454,금호에이치티,175222.0,13520.0,1.0,12700.0,15700.0,32.87,10000,46.05,8.0,-5.0,10000,9500,20151111
455,제주항공,510636.0,32007.0,1.0,23000.0,28000.0,448.5,30000,378.67,77.99,65.0,30000,49500,20151106
456,엘아이지넥스원,1400164.0,50554.0,1.0,66000.0,76000.0,4.74,76000,121.11,21.5,-10.0,76000,68400,20151002
457,아이콘트롤스,131222.0,4580.0,1.0,28000.0,32000.0,280.11,32000,272.96,29.1,-1.09,32000,31650,20150924
458,동일제강,122158.0,6315.0,1.0,2700.0,3300.0,789.49,3000,309.7,3.1,29.0,3000,3870,20150924
459,에이제이네트웍스,194185.0,18461.0,1.0,30200.0,34300.0,83.3,34300,197.15,20.06,-9.91,34300,30900,20150821
460,이노션,744734.0,83835.0,1.0,64000.0,71000.0,204.13,68000,273.09,52.4,-2.21,68000,66500,20150717
461,토니모리,205150.0,11614.0,1.0,26400.0,30200.0,771.08,32000,441.86,55.2,100.0,32000,64000,20150710
462,미래에셋생명보험,3928349.0,121030.0,1.0,8200.0,10000.0,38.01,7500,40.3,2.07,-1.33,7500,7400,20150708
463,경보제약,169781.0,8636.0,1.0,13000.0,15000.0,263.87,15000,524.56,34.44,100.0,15000,30000,20150629
464,에스케이디앤디,174859.0,19121.0,1.0,20200.0,24300.0,574.68,26000,570.59,36.7,100.0,26000,52000,20150623
465,NS쇼핑,347135.0,54619.0,1.0,205000.0,235000.0,236.82,235000,302.59,15.66,-10.0,235000,211500,20150327
466,세화아이엠씨,220665.0,4108.0,1.0,14500.0,16300.0,731.79,16300,216.35,10.45,11.04,16300,18100,20150319
467,제일모직,3018454.0,96302.0,1.0,45000.0,53000.0,194.9,53000,465.0,35.14,100.0,53000,106000,20141218
468,씨에스윈드,296488.0,26861.0,1.0,31000.0,43500.0,66.4,43500,109.3,1.79,-10.0,43500,39150,20141127
469,삼성SDS,7046833.0,325983.0,1.0,150000.0,190000.0,134.19,190000,651.5,48.11,100.0,190000,380000,20141114
470,쿠쿠전자,508758.0,57440.0,1.0,80000.0,104000.0,175.1,104000,598.86,65.18,73.08,104000,180000,20140806
471,화인베스틸,224271.0,16948.0,1.0,4500.0,5100.0,248.12,4700,85.45,,-4.47,4700,4490,20140722
472,BGF리테일,2857192.0,42308.0,1.0,41000.0,46000.0,181.3,41000,,,39.02,41000,57000,20140519
473,현대로템,3067678.0,78435.0,1.0,17000.0,23000.0,54.53,23000,,,46.52,23000,33700,20131030
474,디에스알,159248.0,7933.0,1.0,4150.0,4650.0,406.3,4000,,,25.0,4000,5000,20130515
475,GMB코리아,423277.0,23197.0,0.43,7600.0,9200.0,191.21,6000,,,-0.17,6000,5990,20121120
476,CJ헬로비전,581943.0,76356.0,1.0,14000.0,19000.0,0.26,16000,,,-5.63,16000,15100,20121109
477,에이제이렌터카,363586.0,11673.0,1.0,8000.0,9000.0,0.23,7000,,,-7.71,7000,6460,20120727
478,사조씨푸드,219576.0,13087.0,0.7,8600.0,10050.0,218.3,10600,,,-5.66,10600,10000,20120629
479,코오롱패션머티리얼,516245.0,18679.0,1.0,12000.0,14500.0,691.76,14500,,,37.93,14500,20000,20120405
480,휴비스,1125337.0,24027.0,0.32,11700.0,13200.0,25.32,12200,,,0.41,12200,12250,20120223
481,GS리테일,3473705.0,521157.0,0.0,18000.0,21000.0,5.69,19500,,,0.0,19500,19500,20111223
482,인터지스,350412.0,10888.0,0.76,10000.0,12200.0,3.14,10000,,,-10.0,10000,9000,20111216
483,넥솔론,451337.0,35541.0,1.0,6700.0,8000.0,68.7,4000,,,50.0,4000,6000,20111014
484,삼원강재,283318.0,15860.0,1.0,3700.0,4200.0,707.07,4000,,,100.0,4000,8000,20110722
485,신세계인터내셔날,583188.0,38120.0,1.0,50000.0,65000.0,290.07,65000,,,58.46,65000,103000,20110714
486,한국항공우주산업,1266710.0,78841.0,0.33,14000.0,16000.0,48.95,15500,,,24.52,15500,19300,20110630
487,하이마트,3046678.0,106536.0,0.63,59000.0,67700.0,2.6,59000,,,-10.0,59000,53100,20110629
488,엠케이트렌드,211353.0,13107.0,1.0,9000.0,11000.0,352.0,11000,,,40.91,11000,15500,20110621
489,코오롱플라스틱,166087.0,9024.0,1.0,3800.0,4300.0,579.0,4300,,,60.47,4300,6900,20110615
490,KT스카이라이프,397400.0,24800.0,1.0,13500.0,18500.0,97.7,17000,,,2.94,17000,17500,20110603
491,세아특수강,369196.0,3609.0,0.67,24000.0,28000.0,363.9,28000,,,16.07,28000,32500,20110601
492,한국종합기술,194528.0,9552.0,1.0,6800.0,9200.0,184.33,7100,,,30.99,7100,9300,20110428
493,일진머티리얼즈,203289.0,13292.0,1.0,14100.0,15800.0,2.917,15800,,,-3.16,15800,15300,20110304
494,현대위아,3118200.0,77200.0,1.0,53000.0,60000.0,103.66,65000,,,17.69,65000,76500,20110221
495,중국고섬공고,338641.0,76445.0,1.0,5970.0,5970.0,0.46,7000,,,-10.0,7000,6300,20110125
496,두산엔진,1772597.0,-249695.0,1.0,17200.0,20900.0,47.29,19300,,,15.8,19300,22350,20110104
497,대구도시가스,234690.0,9546.0,1.0,4400.0,5400.0,356.78,5400,,,2.96,5400,5560,20101224
498,현대HCN,206567.0,4681.0,1.0,3800.0,4500.0,21.1,3800,,,-10.0,3800,3420,20101223
499,케이티스,183139.0,14253.0,1.0,2500.0,3100.0,64.8,2700,,,8.15,2700,2920,20101217
500,한전산업개발,238434.0,6140.0,1.0,4500.0,5500.0,127.26,5500,,,-0.18,5500,5490,20101216
501,코라오홀딩스,95366.0,13725.0,1.0,3800.0,4800.0,395.0,4800,,,52.08,4800,7300,20101130
502,휠라코리아,357373.0,17214.0,1.0,30000.0,35000.0,330.0,35000,,,100.0,35000,70000,20100928
503,케이티씨에스,245155.0,12314.0,1.0,2600.0,3100.0,382.82,2600,,,17.5,2600,3055,20100916
504,현대홈쇼핑,515693.0,95459.0,1.0,80000.0,90000.0,147.21,90000,,,38.33,90000,124500,20100913
505,도화종합기술공사,308708.0,28779.0,1.0,20000.0,23000.0,24.96,22000,,,-10.0,22000,19800,20100812
506,아이마켓코리아,1182115.0,21104.0,1.0,12300.0,15300.0,245.4,15300,,,44.44,15300,22100,20100730
507,우진,50260.0,10618.0,1.0,13600.0,15200.0,723.42,15000,,,100.0,15000,30000,20100726
508,웅진에너지,118893.0,41033.0,1.0,7500.0,8500.0,162.69,9500,,,26.32,9500,12000,20100630
509,이연제약,72932.0,8065.0,1.0,16500.0,18000.0,64.47,16500,,,0.0,16500,16500,20100610
510,만도,1574800.0,41272.0,1.0,75000.0,90000.0,124.63,83000,,,16.87,83000,97000,20100519
511,삼성생명,25294898.0,113027.0,1.0,90000.0,115000.0,40.6,110000,,,8.64,110000,119500,20100512
512,대한생명보험,12080182.0,83015.0,1.0,9000.0,11000.0,23.7,8200,,,6.1,8200,8700,20100317
513,지역난방공사,1189916.0,9095.0,1.0,33400.0,40800.0,127.3,45000,,,100.0,45000,90000,20100129
514,락앤락,158681.0,19862.0,1.0,14000.0,15700.0,24.85,15700,,,27.39,15700,20000,20100128
515,영흥철강,136316.0,12778.0,1.0,12000.0,16000.0,491.86,12000,,,3.33,12000,12400,20100125
516,현대푸드시스템,331400.0,15700.0,1.0,10000.0,11600.0,337.83,11600,,,55.17,11600,18000,20091217
517,한전기술,347292.0,27462.0,1.0,21600.0,24400.0,124.0,21600,,,25.0,21600,27000,20091214
518,GKL,391397.0,60206.0,1.0,9500.0,12000.0,20.4,12000,,,25.0,12000,15000,20091119
519,에스케이씨앤씨,1275185.0,145766.0,1.0,28000.0,32000.0,20.87,30000,,,7.5,30000,32250,20091111
520,진로,735259.0,154803.0,1.0,45000.0,50000.0,9.4,41000,,,-2.2,41000,40100,20091019
521,동양생명,2705155.0,81102.0,1.0,17000.0,22000.0,12.67,17000,,,-7.65,17000,15700,20091008
522,쌍용머티리얼,68162.0,7882.0,1.0,14500.0,17500.0,13.73,17500,,,-10.0,17500,15750,20090929
523,에리트베이직,52194.0,3365.0,1.0,3400.0,4200.0,260.76,4000,,,37.25,4000,5490,20090928
524,대우캐피탈,687000.0,109700.0,1.0,7000.0,8500.0,216.27,8000,,3.1,-1.25,8000,7900,20090625
525,한미파슨스건축사사무소,80210.0,5464.0,1.0,10000.0,13000.0,513.93,14500,,,32.07,14500,19150,20090623
526,동아지질,246095.0,7242.0,1.0,12500.0,14000.0,357.95,14500,,8.0,10.34,14500,16000,20090612
527,중국원양자원유한공사,36900.0,14300.0,1.0,2300.0,2900.0,243.5,3100,,,100.0,3100,6200,20090522
528,STX엔파코,702000.0,37400.0,1.0,10000.0,13000.0,357.57,13000,,,100.0,13000,26000,20090515
529,연합과기공고유한공사,,,1.0,4000.0,5000.0,82.17,2200,,,18.18,2200,2600,20081204
530,LG파워콤,1109617.0,25521.0,1.0,8500.0,10000.0,19.07,5700,,,22.81,5700,7000,20081127
531,LG이노텍,1321354.0,25176.0,1.0,50000.0,60000.0,0.66,40500,,0.88,6.17,40500,43000,20080724
532,명문제약,60928.0,6583.0,1.0,6300.0,7100.0,1.82,6000,,,-10.0,6000,5400,20080710
533,비유와상징,65800.0,13500.0,1.0,36000.0,40000.0,0.67,33000,,,-10.0,33000,29700,20080630
534,엔케이,114330.0,4040.0,1.0,11900.0,15500.0,4.08,10000,,0.53,-10.0,10000,9000,20080125
535,한전KPS,,,1.0,11000.0,13300.0,112.0,13300,,71.0,28.57,13300,17100,20071214
536,성진지오텍,214862.0,13232.0,1.0,14000.0,17000.0,2.33,14000,,20.0,-4.29,14000,13400,20071129
537,화풍방직,74283.0,10777.0,1.0,5212.0,5212.0,151.0,5600,,47.25,12.5,5600,6300,20071126
538,디엔에프,14399.0,5591.0,1.0,18700.0,21500.0,2.78,12000,,,-10.0,12000,10800,20071116
539,제이에스전선,302099.0,11929.0,1.0,20000.0,24000.0,383.0,24000,,,100.0,24000,48000,20071112
540,쉘라인,116377.0,17220.0,1.0,18300.0,20600.0,152.0,17400,,,-9.77,17400,15700,20071101
541,기신정기,57700.0,11100.0,1.0,9500.0,11500.0,223.0,10000,,53.37,48.0,10000,14800,20071030
542,KSS해운,84091.0,18903.0,1.0,60000.0,65000.0,205.0,65000,,,100.0,130000,149500,20071026
543,효성ITX,116753.0,3139.0,1.0,4000.0,5150.0,454.0,5000,,,100.0,5000,10000,20071025
544,디아이씨,223319.0,9102.0,1.0,55000.0,65000.0,4.45,63000,,,-3.17,63000,61000,20071018
545,에스티엑스팬오션,2784415.0,101692.0,1.0,1270.0,1270.0,9.47,1720,,,3.2,1720,1775,20070921
546,삼성카드,2195979.0,271870.0,1.0,40000.0,45000.0,103.0,48000,,,29.58,48000,62200,20070627
547,아비스타,,,1.0,10000.0,12000.0,389.19,11100,,99.95,18.92,11100,13200,20061226
548,주연테크,312220.0,6035.0,1.0,6000.0,8000.0,533.25,6400,,99.96,59.38,6400,10200,20061115
549,인천도시가스,,,1.0,18000.0,22000.0,557.93,19000,,99.98,78.95,19000,34000,20061107
550,삼정펄프,,,1.0,28000.0,32000.0,610.31,29000,,99.94,91.03,29000,55400,20061017
551,현대EP,,,1.0,17200.0,21000.0,712.86,18500,,99.95,100.0,18500,37000,20060925
